epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.787,1.58137,2.60283,1.16592,0.99041,0.11972,0.37016,0.2439,1.39711,2.90002,1.03962,0.00041675,0.00041675,0.00041675
2,389.263,1.47392,1.4352,1.10498,0.96235,0.23125,0.51481,0.30216,1.43297,2.55557,1.10018,0.000833337,0.000833337,0.000833337
3,648.907,1.40502,1.26938,1.10959,0.6984,0.41001,0.69537,0.40954,1.36436,1.89378,1.09929,0.00123276,0.00123276,0.00123276
4,907.478,1.40215,1.19046,1.10689,0.7288,0.65628,0.74274,0.43271,1.34745,1.38539,1.06947,0.00156798,0.00156798,0.00156798
5,1171.75,1.37401,1.129,1.10466,0.70721,0.70579,0.76171,0.44149,1.38437,1.20536,1.09156,0.00153497,0.00153497,0.00153497
6,1426.54,1.36194,1.04931,1.07705,0.72258,0.76077,0.80405,0.47662,1.3309,1.09178,1.09271,0.00150197,0.00150197,0.00150197
7,1680.27,1.31051,1.01058,1.07169,0.71029,0.75463,0.76928,0.45766,1.26147,1.12464,1.06435,0.00146896,0.00146896,0.00146896
8,2007.16,1.28179,0.99339,1.0511,0.79073,0.71478,0.78779,0.47952,1.2412,0.99661,1.04182,0.00143595,0.00143595,0.00143595
9,2356.47,1.28344,0.96887,1.05717,0.73546,0.76413,0.79607,0.47781,1.26919,1.08127,1.04902,0.00140295,0.00140295,0.00140295
10,2949.23,1.28643,0.95073,1.05245,0.77001,0.76037,0.82426,0.50572,1.22918,0.99546,1.0371,0.00136994,0.00136994,0.00136994
11,3069.91,1.27557,0.95586,1.06298,0.77396,0.77759,0.83811,0.51829,1.20679,0.93798,1.03168,0.00133693,0.00133693,0.00133693
12,3293.7,1.26709,0.91061,1.05102,0.81801,0.77601,0.84258,0.53097,1.22949,0.87267,1.03098,0.00130393,0.00130393,0.00130393
13,3559.82,1.23751,0.87708,1.04164,0.82005,0.74108,0.83379,0.52453,1.22279,0.88383,1.03836,0.00127092,0.00127092,0.00127092
14,3823.19,1.24976,0.87167,1.0584,0.79325,0.78346,0.84834,0.54537,1.20477,0.86485,1.02973,0.00123791,0.00123791,0.00123791
15,4090.89,1.20881,0.84869,1.04595,0.7939,0.76275,0.8379,0.52733,1.21158,0.83778,1.03777,0.00120491,0.00120491,0.00120491
16,4566.6,1.19855,0.83615,1.02387,0.79778,0.79881,0.83788,0.53415,1.22313,0.85265,1.04411,0.0011719,0.0011719,0.0011719
17,4690.8,1.21777,0.84666,1.03278,0.8148,0.79089,0.84892,0.53682,1.19081,0.81006,1.03727,0.00113889,0.00113889,0.00113889
18,4948.08,1.209,0.82002,1.03177,0.79999,0.79361,0.85479,0.54506,1.19577,0.83182,1.03313,0.00110589,0.00110589,0.00110589
19,5189.05,1.19553,0.81781,1.03888,0.80262,0.81225,0.86183,0.55108,1.18447,0.80503,1.03709,0.00107288,0.00107288,0.00107288
20,5432.39,1.16185,0.79684,1.02076,0.84093,0.77439,0.8631,0.54979,1.18304,0.82292,1.02776,0.00103987,0.00103987,0.00103987
21,6865.49,1.16594,0.79196,1.02347,0.80473,0.80958,0.86129,0.55241,1.16895,0.80432,1.01567,0.00100687,0.00100687,0.00100687
22,7072.35,1.15614,0.77606,1.01292,0.84151,0.80139,0.86315,0.56696,1.14966,0.75706,1.01765,0.000973861,0.000973861,0.000973861
23,7258.98,1.1607,0.76867,1.01336,0.82061,0.76906,0.85449,0.55437,1.15436,0.78601,1.00983,0.000940855,0.000940855,0.000940855
24,7458.2,1.16291,0.78423,1.02912,0.83431,0.78342,0.85989,0.54395,1.16397,0.8123,1.02649,0.000907848,0.000907848,0.000907848
25,7677.61,1.16363,0.77224,1.02242,0.82285,0.8085,0.86996,0.55957,1.15818,0.76514,1.01125,0.000874842,0.000874842,0.000874842
26,7888.64,1.15877,0.74987,1.02345,0.83162,0.80982,0.87177,0.57479,1.13877,0.74413,1.01606,0.000841835,0.000841835,0.000841835
27,8084.5,1.13466,0.72736,1.0083,0.84396,0.80916,0.8773,0.57552,1.11552,0.71776,1.00858,0.000808828,0.000808828,0.000808828
28,8285.14,1.11303,0.71613,0.99931,0.84624,0.79172,0.86771,0.56308,1.14262,0.73173,1.00709,0.000775822,0.000775822,0.000775822
29,8485.64,1.12555,0.73517,1.01351,0.84476,0.79351,0.86762,0.56937,1.10555,0.74807,0.9998,0.000742815,0.000742815,0.000742815
30,9774.04,1.11197,0.7166,0.99577,0.83847,0.80933,0.87649,0.57392,1.1137,0.71788,1.00743,0.000709809,0.000709809,0.000709809
31,9953.42,1.12323,0.71697,1.00571,0.85175,0.78794,0.8659,0.57682,1.1061,0.73338,1.0094,0.000676802,0.000676802,0.000676802
32,10146.1,1.10035,0.70802,0.99917,0.84716,0.80481,0.87639,0.5788,1.11956,0.69904,1.01375,0.000643795,0.000643795,0.000643795
33,10334.1,1.08274,0.69258,0.98022,0.84904,0.80532,0.87601,0.58522,1.10319,0.69717,1.00932,0.000610789,0.000610789,0.000610789
34,10839.3,1.07995,0.68252,0.9764,0.859,0.81497,0.88343,0.58476,1.10061,0.68447,1.00752,0.000577782,0.000577782,0.000577782
35,11015.7,1.07744,0.68778,0.98454,0.85713,0.81167,0.88213,0.58304,1.1047,0.69809,1.01294,0.000544776,0.000544776,0.000544776
36,11206.9,1.08624,0.68134,0.98436,0.84181,0.82106,0.88486,0.57973,1.10591,0.70449,1.0155,0.000511769,0.000511769,0.000511769
37,11414.8,1.0561,0.65624,0.97037,0.84785,0.81671,0.88383,0.59145,1.10361,0.69123,1.0081,0.000478762,0.000478762,0.000478762
