epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.663,1.6026,3.72908,1.32726,0.00655,0.24508,0.04216,0.02739,1.38537,3.66211,1.0876,0.00013336,0.00013336,0.00013336
2,294.702,1.50214,2.34602,1.11314,0.01193,0.45198,0.28462,0.17409,1.39541,3.12866,1.08433,0.000277779,0.000277779,0.000277779
3,419.616,1.46786,1.7068,1.1283,0.03875,0.47029,0.35931,0.22658,1.32236,2.95864,1.03871,0.000416257,0.000416257,0.000416257
4,537.596,1.36223,1.56916,1.10805,0.98041,0.09123,0.48041,0.29766,1.32702,2.75782,1.04377,0.000548793,0.000548793,0.000548793
5,654.317,1.35077,1.45427,1.09845,0.93471,0.16792,0.45005,0.25884,1.42951,2.69705,1.09007,0.000675388,0.000675388,0.000675388
6,774.44,1.3724,1.37896,1.10419,0.92591,0.28882,0.553,0.32579,1.41021,2.42316,1.09006,0.000796043,0.000796043,0.000796043
7,895.419,1.32984,1.28445,1.10378,0.94597,0.25317,0.50918,0.31615,1.35964,2.51392,1.07924,0.000910755,0.000910755,0.000910755
8,1019.11,1.27438,1.24976,1.08575,0.83913,0.34153,0.64111,0.37892,1.33392,2.17835,1.07431,0.00101953,0.00101953,0.00101953
9,1139.08,1.32784,1.23346,1.07357,0.80087,0.5117,0.70208,0.39293,1.35682,2.0757,1.11706,0.00112236,0.00112236,0.00112236
10,1257.64,1.2939,1.16649,1.08591,0.87122,0.47154,0.70533,0.41424,1.33561,2.03304,1.12219,0.00121925,0.00121925,0.00121925
11,1376.82,1.33377,1.16174,1.1114,0.86399,0.42346,0.68079,0.39754,1.35573,2.09288,1.12053,0.0013102,0.0013102,0.0013102
12,1496.07,1.27238,1.1339,1.07916,0.69631,0.6403,0.66781,0.37664,1.36993,1.70866,1.12476,0.00130393,0.00130393,0.00130393
13,1613.19,1.26669,1.17413,1.07624,0.71059,0.63017,0.68242,0.39751,1.35024,1.70655,1.10713,0.00127092,0.00127092,0.00127092
14,1729.53,1.23876,1.11736,1.05667,0.7133,0.62516,0.68633,0.40168,1.32958,1.56709,1.1161,0.00123791,0.00123791,0.00123791
15,1845.57,1.23203,1.07877,1.08543,0.66489,0.63736,0.68859,0.38998,1.355,1.44798,1.16396,0.00120491,0.00120491,0.00120491
