epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.223,1.57733,3.06815,1.17099,0.95209,0.12759,0.42066,0.22447,1.50186,2.88309,1.08667,0.00026672,0.00026672,0.00026672
2,338.363,1.46797,1.6594,1.07684,0.9844,0.0731,0.43239,0.23588,1.5016,2.84459,1.0918,0.000539218,0.000539218,0.000539218
3,556.644,1.41995,1.38926,1.06508,0.81964,0.26452,0.58452,0.34212,1.43285,2.31237,1.1215,0.000800493,0.000800493,0.000800493
4,783.389,1.36192,1.24909,1.07214,0.78651,0.3596,0.62978,0.35938,1.48377,2.08173,1.12761,0.00105055,0.00105055,0.00105055
5,1009.63,1.3607,1.16758,1.06231,0.87212,0.25424,0.57699,0.34892,1.40884,2.20519,1.12619,0.00128938,0.00128938,0.00128938
6,1243.04,1.35764,1.1136,1.07282,0.74368,0.37779,0.65581,0.38534,1.39073,1.97796,1.11792,0.00150197,0.00150197,0.00150197
7,1489.54,1.34597,1.08135,1.05772,0.72118,0.57028,0.66158,0.38038,1.4438,1.75641,1.14571,0.00146896,0.00146896,0.00146896
8,1757.18,1.32589,1.07131,1.06229,0.69623,0.63933,0.70969,0.41028,1.38126,1.41034,1.11031,0.00143595,0.00143595,0.00143595
9,1980.48,1.28064,1.04641,1.05589,0.75592,0.7152,0.75751,0.44204,1.36078,1.21147,1.12417,0.00140295,0.00140295,0.00140295
10,2217.09,1.28784,0.99761,1.0408,0.67773,0.68653,0.7174,0.4093,1.38778,1.28412,1.14062,0.00136994,0.00136994,0.00136994
11,2436.99,1.28935,0.97792,1.04506,0.74882,0.66236,0.75288,0.4463,1.35717,1.18515,1.09803,0.00133693,0.00133693,0.00133693
12,2670.29,1.23794,0.95693,1.0445,0.75515,0.73743,0.77866,0.47176,1.29807,1.11731,1.08308,0.00130393,0.00130393,0.00130393
13,2885.78,1.19648,0.91527,1.02714,0.68685,0.68777,0.73126,0.45008,1.32976,1.16989,1.10903,0.00127092,0.00127092,0.00127092
14,3107.03,1.22542,0.90966,1.02438,0.778,0.7292,0.80089,0.49539,1.30025,1.04051,1.10663,0.00123791,0.00123791,0.00123791
15,3340.36,1.22843,0.91119,1.03074,0.7767,0.76483,0.81736,0.50178,1.27818,1.04894,1.10814,0.00120491,0.00120491,0.00120491
16,3562.56,1.22456,0.91175,1.04912,0.7889,0.75906,0.80449,0.48102,1.35038,1.01348,1.1283,0.0011719,0.0011719,0.0011719
17,3791.68,1.21645,0.87492,1.01493,0.80221,0.76439,0.82289,0.50709,1.2762,0.94771,1.09141,0.00113889,0.00113889,0.00113889
18,4025.81,1.20326,0.85939,1.02719,0.79129,0.7738,0.82468,0.51467,1.27142,0.92932,1.0923,0.00110589,0.00110589,0.00110589
19,4234.88,1.17772,0.86277,1.02304,0.78382,0.76755,0.81757,0.5046,1.27297,0.95967,1.09804,0.00107288,0.00107288,0.00107288
20,4456.43,1.18815,0.84267,1.00626,0.77952,0.77532,0.82656,0.51309,1.26,0.92627,1.10424,0.00103987,0.00103987,0.00103987
21,4675.23,1.18704,0.81486,1.00361,0.76049,0.73898,0.79595,0.4842,1.31107,0.95317,1.12542,0.00100687,0.00100687,0.00100687
