epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,394.754,1.51422,2.33455,1.18875,0.95243,0.12343,0.38167,0.22573,1.32393,2.85539,1.03811,0.000542744,0.000542744,0.000542744
2,771.591,1.3899,1.35349,1.12596,0.49633,0.44529,0.46466,0.25035,1.39695,2.36364,1.07097,0.00107666,0.00107666,0.00107666
3,1160.04,1.38408,1.23366,1.13659,0.6307,0.68271,0.68931,0.39662,1.32416,1.60866,1.09761,0.00158858,0.00158858,0.00158858
4,1571.05,1.35958,1.16629,1.09984,0.704,0.72392,0.76191,0.44745,1.3746,1.31047,1.09368,0.00156798,0.00156798,0.00156798
5,1946.71,1.30981,1.08166,1.10707,0.69384,0.71234,0.70786,0.39597,1.36067,1.39828,1.07843,0.00153497,0.00153497,0.00153497
6,2335.46,1.30023,1.04631,1.09168,0.78866,0.74746,0.78977,0.47864,1.32802,1.07775,1.08723,0.00150197,0.00150197,0.00150197
7,2688.4,1.28998,0.99445,1.08453,0.7777,0.7727,0.80576,0.52159,1.24512,1.15576,1.03343,0.00146896,0.00146896,0.00146896
8,3149.99,1.27346,0.96191,1.08277,0.80189,0.77687,0.82432,0.53243,1.23352,0.94158,1.0427,0.00143595,0.00143595,0.00143595
9,5220.9,1.24752,0.92079,1.07504,0.80449,0.77783,0.82442,0.52544,1.24291,1.06632,1.04524,0.00140295,0.00140295,0.00140295
10,14855.9,1.21652,0.89553,1.06229,0.79049,0.78258,0.8117,0.51236,1.22044,1.00736,1.03261,0.00136994,0.00136994,0.00136994
11,15147.6,1.23123,0.8746,1.05697,0.81315,0.79712,0.83611,0.53718,1.2065,0.88872,1.05577,0.00133693,0.00133693,0.00133693
12,15480.1,1.20787,0.8558,1.06492,0.82149,0.78267,0.84721,0.54614,1.18719,0.85998,1.02143,0.00130393,0.00130393,0.00130393
13,15811.5,1.20545,0.84525,1.05177,0.80065,0.77637,0.82893,0.53323,1.20489,0.87008,1.02952,0.00127092,0.00127092,0.00127092
14,16191.4,1.17821,0.81899,1.05065,0.81005,0.79227,0.84434,0.55499,1.17048,0.83277,1.01704,0.00123791,0.00123791,0.00123791
15,16516.9,1.17897,0.82785,1.06267,0.81346,0.79239,0.84568,0.55647,1.1651,0.83046,1.02615,0.00120491,0.00120491,0.00120491
16,16949.4,1.14649,0.79972,1.02991,0.83788,0.77325,0.84596,0.55058,1.17413,0.84636,1.01775,0.0011719,0.0011719,0.0011719
17,18245.4,1.15659,0.78963,1.04038,0.81991,0.78958,0.84852,0.55748,1.17275,0.80516,1.02502,0.00113889,0.00113889,0.00113889
18,18633.9,1.1525,0.77746,1.03501,0.81381,0.80882,0.85349,0.56845,1.15169,0.76382,1.01179,0.00110589,0.00110589,0.00110589
19,45168.8,1.15977,0.78665,1.05017,0.81768,0.78851,0.84676,0.55992,1.16777,0.80621,1.01799,0.00107288,0.00107288,0.00107288
20,45486,1.11135,0.76961,1.0257,0.81396,0.79325,0.855,0.56951,1.14567,0.78254,1.01127,0.00103987,0.00103987,0.00103987
21,45901.1,1.10283,0.75354,1.01863,0.79652,0.79291,0.84034,0.56263,1.13805,0.8822,1.01606,0.00100687,0.00100687,0.00100687
