epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,441.876,1.54767,2.44601,1.17895,0.99165,0.09664,0.43106,0.2579,1.34935,2.85763,1.06582,0.00053344,0.00053344,0.00053344
2,931.477,1.40748,1.39356,1.11324,0.79779,0.28642,0.55329,0.33884,1.3422,2.31813,1.10231,0.0010621,0.0010621,0.0010621
3,1482.5,1.41124,1.30121,1.13155,0.67735,0.59306,0.70105,0.40544,1.38155,1.68528,1.12093,0.00156897,0.00156897,0.00156897
4,2028.85,1.39938,1.22324,1.12367,0.72641,0.67719,0.70555,0.39998,1.41588,1.3736,1.13998,0.00156798,0.00156798,0.00156798
5,2539.53,1.32727,1.10371,1.08181,0.62418,0.69418,0.70717,0.41814,1.3042,1.31905,1.09649,0.00153497,0.00153497,0.00153497
6,3049.32,1.29873,1.05699,1.08433,0.7251,0.69158,0.72821,0.4359,1.28179,1.2044,1.09096,0.00150197,0.00150197,0.00150197
7,3598.81,1.27264,0.99571,1.06766,0.76585,0.74701,0.80668,0.49022,1.25993,1.04175,1.08326,0.00146896,0.00146896,0.00146896
8,4049.06,1.2665,0.9872,1.07135,0.80504,0.73635,0.79947,0.50349,1.2154,1.03444,1.06434,0.00143595,0.00143595,0.00143595
9,4609.16,1.24584,0.9588,1.08153,0.79737,0.76804,0.81902,0.51692,1.209,0.96881,1.07028,0.00140295,0.00140295,0.00140295
10,5073.98,1.19839,0.91256,1.05725,0.8073,0.74496,0.80727,0.49919,1.22649,0.97624,1.07974,0.00136994,0.00136994,0.00136994
11,5637.71,1.23737,0.92303,1.06821,0.80598,0.75893,0.82153,0.51591,1.22157,0.94122,1.08083,0.00133693,0.00133693,0.00133693
12,6047.39,1.2201,0.87455,1.05574,0.77588,0.74912,0.80879,0.5043,1.21814,0.94342,1.06719,0.00130393,0.00130393,0.00130393
13,12306.7,1.19623,0.85994,1.06593,0.81233,0.76257,0.82324,0.51776,1.21007,0.99652,1.078,0.00127092,0.00127092,0.00127092
14,12560.7,1.19367,0.86742,1.06515,0.82345,0.74249,0.82762,0.52683,1.23166,0.90804,1.0853,0.00123791,0.00123791,0.00123791
15,13660.4,1.1815,0.84228,1.04712,0.81397,0.75303,0.82751,0.53005,1.18251,0.86959,1.06996,0.00120491,0.00120491,0.00120491
16,13986.2,1.1766,0.82755,1.04185,0.80563,0.78621,0.83486,0.53568,1.1771,0.87455,1.06145,0.0011719,0.0011719,0.0011719
17,14369.7,1.15912,0.80265,1.03816,0.79682,0.78413,0.83069,0.53575,1.14862,0.84095,1.05039,0.00113889,0.00113889,0.00113889
18,14816.7,1.13962,0.77963,1.03299,0.81453,0.77708,0.84176,0.55435,1.14014,0.82371,1.05766,0.00110589,0.00110589,0.00110589
19,15211.5,1.15733,0.78391,1.03703,0.80632,0.77013,0.83145,0.54458,1.1311,0.82294,1.04385,0.00107288,0.00107288,0.00107288
20,15597.7,1.15194,0.78564,1.03684,0.81065,0.76149,0.82742,0.53448,1.16399,0.84978,1.05282,0.00103987,0.00103987,0.00103987
21,15995.4,1.12084,0.76881,1.03137,0.81627,0.7771,0.83897,0.55301,1.11788,0.85899,1.04685,0.00100687,0.00100687,0.00100687
22,23522.8,1.11199,0.75108,1.01658,0.80159,0.78797,0.83374,0.5492,1.11261,0.81326,1.04055,0.000973861,0.000973861,0.000973861
23,23747.7,1.09785,0.73785,1.02092,0.81099,0.78284,0.84472,0.56138,1.11076,0.80693,1.04185,0.000940855,0.000940855,0.000940855
24,24102.5,1.11147,0.74365,1.01919,0.83674,0.75305,0.83475,0.54998,1.12921,0.83277,1.04197,0.000907848,0.000907848,0.000907848
25,25326.4,1.09112,0.73911,1.02239,0.81635,0.78997,0.84798,0.56286,1.11121,0.78525,1.0388,0.000874842,0.000874842,0.000874842
26,25573.7,1.09873,0.73557,1.0147,0.83737,0.73852,0.83586,0.56306,1.11205,0.81268,1.04309,0.000841835,0.000841835,0.000841835
27,25901.1,1.10114,0.73519,1.02795,0.80937,0.79093,0.85144,0.56878,1.11657,0.76778,1.05183,0.000808828,0.000808828,0.000808828
28,26192.6,1.07147,0.71451,1.01229,0.81218,0.80605,0.8546,0.57011,1.10307,0.76873,1.04139,0.000775822,0.000775822,0.000775822
29,26557.4,1.04759,0.70552,1.00116,0.80858,0.80704,0.85427,0.576,1.08588,0.75916,1.02794,0.000742815,0.000742815,0.000742815
30,26912.7,1.06774,0.70193,1.01175,0.80838,0.79725,0.85617,0.57303,1.09567,0.76232,1.02756,0.000709809,0.000709809,0.000709809
31,27263.4,1.06523,0.69193,1.0047,0.82916,0.76299,0.84711,0.56795,1.09738,0.77347,1.03903,0.000676802,0.000676802,0.000676802
32,27654.7,1.05257,0.69302,0.999,0.82437,0.78113,0.85089,0.5714,1.09185,0.74226,1.02834,0.000643795,0.000643795,0.000643795
33,27993,1.03596,0.67818,0.9917,0.82409,0.80601,0.86181,0.57887,1.08659,0.73829,1.03076,0.000610789,0.000610789,0.000610789
34,28356.5,1.02451,0.66547,0.99131,0.82824,0.79357,0.85686,0.58234,1.07341,0.74506,1.026,0.000577782,0.000577782,0.000577782
35,28666.5,1.02346,0.65609,0.99133,0.82608,0.80365,0.86043,0.58493,1.07965,0.73087,1.0338,0.000544776,0.000544776,0.000544776
36,28963.8,1.0085,0.64227,0.98107,0.82626,0.79952,0.86013,0.58408,1.08626,0.7276,1.0307,0.000511769,0.000511769,0.000511769
37,29460.1,1,0.64051,0.97609,0.83174,0.80698,0.86618,0.59302,1.07422,0.71928,1.02759,0.000478762,0.000478762,0.000478762
38,30055.5,1.02021,0.63243,0.98211,0.83542,0.80707,0.86319,0.58708,1.06781,0.72672,1.02561,0.000445756,0.000445756,0.000445756
39,30703.3,1.00305,0.63817,0.97888,0.82333,0.78345,0.85201,0.58034,1.07959,0.74316,1.03614,0.000412749,0.000412749,0.000412749
40,31350.8,1.00938,0.63827,0.98944,0.81397,0.80945,0.86203,0.58835,1.06602,0.71683,1.02638,0.000379743,0.000379743,0.000379743
41,31814.7,0.94279,0.5864,0.96348,0.82784,0.80914,0.86182,0.59045,1.05902,0.71249,1.02444,0.000346736,0.000346736,0.000346736
42,32296.6,0.92648,0.56687,0.96154,0.81825,0.81027,0.86181,0.59219,1.05383,0.71953,1.02495,0.000313729,0.000313729,0.000313729
43,32874.1,0.90295,0.55885,0.9495,0.81761,0.80294,0.86189,0.59213,1.04789,0.71078,1.01646,0.000280723,0.000280723,0.000280723
44,33408.6,0.90986,0.5619,0.94525,0.82264,0.80007,0.86089,0.58933,1.05525,0.71253,1.02338,0.000247716,0.000247716,0.000247716
45,33940.4,0.89055,0.55057,0.95487,0.81041,0.81797,0.86442,0.59208,1.05498,0.70449,1.02176,0.00021471,0.00021471,0.00021471
46,34480.5,0.89201,0.54353,0.95265,0.81635,0.81201,0.86087,0.59385,1.05195,0.70488,1.024,0.000181703,0.000181703,0.000181703
47,35027.8,0.88559,0.54697,0.94579,0.81266,0.81122,0.86001,0.59716,1.03885,0.69943,1.02219,0.000148696,0.000148696,0.000148696
48,35459.1,0.88995,0.54406,0.95055,0.82269,0.80248,0.86176,0.5992,1.03935,0.69595,1.02153,0.00011569,0.00011569,0.00011569
49,38223.9,0.87682,0.52308,0.93846,0.82042,0.8063,0.86125,0.59725,1.04065,0.70084,1.02005,8.26832e-05,8.26832e-05,8.26832e-05
50,38547.8,0.8764,0.53372,0.94935,0.82011,0.80815,0.8612,0.59755,1.03877,0.6992,1.01857,4.96766e-05,4.96766e-05,4.96766e-05
